newsletter_link,post_id
https://www.newsletter.kahvipatel.com/p/coming-soon,71899657
https://www.newsletter.kahvipatel.com/p/what-why-how,96719581
https://www.newsletter.kahvipatel.com/p/december-2022,96747426
https://www.newsletter.kahvipatel.com/p/january-2023,102515862
https://www.newsletter.kahvipatel.com/p/february-2023,108898260
https://www.newsletter.kahvipatel.com/p/march-2023-on-ai-oh-no,115770857
https://www.newsletter.kahvipatel.com/p/april-2023,121917944
https://www.newsletter.kahvipatel.com/p/on-ai-part-2,121695626
https://www.newsletter.kahvipatel.com/p/on-ai-part-3,123885809
https://www.newsletter.kahvipatel.com/p/may-2023-late-edition,130044943
https://www.newsletter.kahvipatel.com/p/june-2023,135162719
https://www.newsletter.kahvipatel.com/p/july-2023,136004278
https://www.newsletter.kahvipatel.com/p/august-2023,136741684
https://www.newsletter.kahvipatel.com/p/september-2023,137936800
https://www.newsletter.kahvipatel.com/p/october-2023,138935536
https://www.newsletter.kahvipatel.com/p/november-2023,139766578
https://www.newsletter.kahvipatel.com/p/december-2023,140427095
https://www.newsletter.kahvipatel.com/p/january-2024,141711159
https://www.newsletter.kahvipatel.com/p/february-2024,142535899
https://www.newsletter.kahvipatel.com/p/march-2024,143627439
https://www.newsletter.kahvipatel.com/p/april-2024,144316141
https://www.newsletter.kahvipatel.com/p/may-2024,145563552
https://www.newsletter.kahvipatel.com/p/june-2024,146527091
https://www.newsletter.kahvipatel.com/p/july-2024,147763085
https://www.newsletter.kahvipatel.com/p/august-2024,148872893
https://www.newsletter.kahvipatel.com/p/september-2024,150190649
https://www.newsletter.kahvipatel.com/p/october-2024-extended,151438638
https://www.newsletter.kahvipatel.com/p/november-2024,153497339
https://www.newsletter.kahvipatel.com/p/december-2024,154719402
https://www.newsletter.kahvipatel.com/p/january-2025,156810724
https://www.newsletter.kahvipatel.com/p/february-2025,158964451
https://www.newsletter.kahvipatel.com/p/march-2025,161270654
https://www.newsletter.kahvipatel.com/p/april-2025,163359387
https://www.newsletter.kahvipatel.com/p/may-2025,166493937
https://www.newsletter.kahvipatel.com/p/junejuly-2025,168533409
https://www.newsletter.kahvipatel.com/p/august-2025,174144127
https://www.newsletter.kahvipatel.com/p/septemberoctober-2025,178944430
https://www.newsletter.kahvipatel.com/p/november-2025,181463253
https://www.newsletter.kahvipatel.com/p/december-2025,184230330
https://www.newsletter.kahvipatel.com/p/january-2026,188065771
https://www.newsletter.kahvipatel.com/p/february-2026,190327231
https://www.newsletter.kahvipatel.com/p/march-2026,194373639
https://www.newsletter.kahvipatel.com/p/april-2026,197176063
https://www.newsletter.kahvipatel.com/p/may-2026,202064004
https://www.newsletter.kahvipatel.com/p/june-july-2026,211146190
